Time (ms)	Resources	Captured	Escaped
5080	9968	1	0
10130	9924	1	0
15188	9866	1	2
20240	9796	3	2
25312	9729	5	3
30377	9675	5	3
35430	9613	5	3
40482	9559	6	4
45535	9505	7	8
50591	9442	8	10
55652	9386	8	12
60712	9346	8	12
65781	9312	8	13
70837	9278	8	14
75894	9233	8	19
80948	9169	9	19
86017	9101	9	22
91078	9027	9	22
96135	8953	9	24
101187	8878	9	24
106249	8812	10	29
111311	8734	11	30
116373	8670	11	32
121427	8606	14	33
126491	8541	14	33
131548	8477	14	33
136608	8423	14	36
141664	8375	15	37
146728	8330	15	40
151781	8278	15	41
156838	8224	16	42
161895	8170	16	42
166959	8116	17	47
172024	8061	19	47
177089	7997	19	49
182146	7933	20	49
187200	7869	20	51
192258	7805	20	51
197324	7748	21	54
202380	7694	22	54
207442	7646	22	58
212502	7604	23	58
217564	7542	24	59
222619	7485	25	59
227677	7415	26	63
232737	7341	27	63
237799	7271	28	64
242861	7217	28	64
247927	7162	28	64
252983	7108	28	66
258049	7054	29	68
263105	7000	30	70
268165	6945	30	72
273223	6897	30	73
278283	6853	30	73
283340	6809	30	77
288402	6765	30	79
293467	6716	30	82
298525	6662	31	84
303585	6608	31	84
308649	6554	31	84
313711	6500	34	85
318774	6435	35	87
323831	6383	36	89
328896	6339	37	90
333951	6295	37	90
339007	6251	37	90
344073	6206	37	94
349127	6162	38	94
354182	6118	39	97
359240	6074	40	98
364294	6030	40	98
369352	5985	40	98
374409	5941	42	101
379465	5897	42	102
384527	5853	43	106
389588	5808	44	106
394646	5764	45	106
399705	5720	45	107
404762	5670	46	110
409817	5616	47	111
414875	5565	48	113
419931	5519	49	113
424997	5475	49	113
430059	5441	49	114
435128	5393	49	118
440192	5328	51	119
445257	5264	51	121
450324	5200	52	121
455388	5136	52	121
460451	5072	52	122
465510	5007	52	126
470569	4943	53	128
475633	4879	53	131
480687	4815	54	131
485744	4751	54	131
490802	4686	54	131
495875	4622	55	134
500938	4558	56	135
505997	4494	56	137
511058	4429	56	138
516123	4365	56	139
521183	4301	56	139
526241	4229	57	145
531291	4141	58	145
